method,average_local_error,class_aware_continuity,class_aware_trustworthiness,continuity,distance_consistency,false_neighbors,jaccard,missing_neighbors,mrre_data,mrre_proj,neighborhood_hit,normalized_stress,pearson_correlation,procrustes,scale_normalized_stress,shepard_goodness,true_neighbors,trustworthiness,projection,dataset,k,metric
projnn,0.178,0.937,0.944,0.919,0.54,0.822,0.104,0.822,0.075,0.07,0.692,0.856,0.446,0.99,0.199,0.417,0.178,0.918,mds,usps,21,trustworthiness
truenn,0.194,0.95,0.851,0.934,0.516,0.862,0.079,0.862,0.173,0.053,0.569,0.886,0.451,0.995,0.217,0.43,0.138,0.823,mds,usps,21,trustworthiness
rescaled,0.115,0.96,0.974,0.952,0.633,0.843,0.093,0.843,0.061,0.042,0.754,0.958,0.583,0.999,0.504,0.803,0.157,0.938,umap,har,21,trustworthiness
magnetic,0.114,0.828,0.822,0.8,0.49,0.967,0.019,0.967,0.23,0.194,0.421,0.959,0.525,0.999,0.459,0.644,0.033,0.771,umap,har,21,trustworthiness
magnetic_on_rescale,0.114,0.834,0.825,0.808,0.502,0.965,0.02,0.965,0.227,0.186,0.43,0.959,0.528,0.999,0.468,0.656,0.035,0.773,umap,har,21,trustworthiness
delaunay,0.112,0.826,0.831,0.801,0.519,0.968,0.018,0.968,0.229,0.195,0.465,0.955,0.525,0.999,0.44,0.621,0.032,0.772,umap,har,21,trustworthiness
projnn,0.057,0.941,0.951,0.93,0.621,0.877,0.071,0.877,0.082,0.06,0.698,0.859,0.645,0.996,0.117,0.631,0.123,0.912,umap,har,21,trustworthiness
truenn,0.06,0.973,0.961,0.965,0.738,0.832,0.1,0.832,0.086,0.027,0.751,0.88,0.659,0.998,0.115,0.654,0.168,0.912,umap,har,21,trustworthiness
rescaled,0.294,0.953,0.972,0.919,0.485,0.726,0.168,0.726,0.037,0.067,0.72,0.919,0.363,0.975,0.256,0.36,0.274,0.953,tsne,mnist,21,trustworthiness
magnetic,0.307,0.942,0.884,0.907,0.475,0.878,0.07,0.878,0.156,0.08,0.531,0.925,0.36,0.981,0.252,0.358,0.122,0.841,tsne,mnist,21,trustworthiness
magnetic_on_rescale,0.306,0.943,0.891,0.908,0.476,0.873,0.073,0.873,0.149,0.079,0.541,0.925,0.362,0.981,0.252,0.36,0.127,0.85,tsne,mnist,21,trustworthiness
delaunay,0.234,0.957,0.939,0.926,0.636,0.804,0.115,0.804,0.088,0.062,0.643,0.905,0.422,0.98,0.156,0.399,0.196,0.906,tsne,mnist,21,trustworthiness
projnn,0.225,0.959,0.967,0.929,0.634,0.747,0.153,0.747,0.05,0.059,0.714,0.9,0.427,0.979,0.154,0.401,0.253,0.939,tsne,mnist,21,trustworthiness
truenn,0.291,0.966,0.895,0.941,0.622,0.868,0.075,0.868,0.163,0.047,0.632,0.931,0.458,0.99,0.198,0.451,0.132,0.838,tsne,mnist,21,trustworthiness
rescaled,0.207,0.981,0.985,0.964,0.599,0.709,0.178,0.709,0.025,0.03,0.635,0.95,0.326,0.998,0.296,0.351,0.291,0.974,isomap,fashionmnist,21,continuity
magnetic,0.226,0.903,0.827,0.856,0.465,0.946,0.03,0.946,0.205,0.14,0.377,0.958,0.309,0.998,0.264,0.316,0.054,0.796,isomap,fashionmnist,21,continuity
magnetic_on_rescale,0.215,0.964,0.936,0.942,0.561,0.865,0.078,0.865,0.086,0.053,0.511,0.954,0.323,0.998,0.294,0.345,0.135,0.914,isomap,fashionmnist,21,continuity
delaunay,0.143,0.98,0.964,0.966,0.544,0.788,0.125,0.788,0.049,0.03,0.574,0.916,0.583,0.993,0.125,0.579,0.212,0.948,isomap,fashionmnist,21,continuity
projnn,0.145,0.98,0.98,0.967,0.546,0.74,0.157,0.74,0.03,0.029,0.619,0.915,0.577,0.993,0.128,0.569,0.26,0.968,isomap,fashionmnist,21,continuity
truenn,0.166,0.987,0.954,0.978,0.622,0.806,0.113,0.806,0.065,0.019,0.569,0.934,0.549,0.996,0.155,0.558,0.194,0.935,isomap,fashionmnist,21,continuity
rescaled,0.207,0.981,0.988,0.966,0.611,0.667,0.211,0.667,0.02,0.028,0.642,0.944,0.384,0.999,0.309,0.421,0.333,0.979,umap,fashionmnist,21,continuity
magnetic,0.213,0.955,0.923,0.924,0.567,0.877,0.072,0.877,0.105,0.072,0.518,0.948,0.383,0.998,0.3,0.416,0.123,0.895,umap,fashionmnist,21,continuity
magnetic_on_rescale,0.212,0.957,0.928,0.927,0.572,0.873,0.075,0.873,0.1,0.069,0.526,0.948,0.383,0.998,0.3,0.416,0.127,0.901,umap,fashionmnist,21,continuity
delaunay,0.152,0.977,0.95,0.962,0.588,0.812,0.11,0.812,0.071,0.033,0.556,0.93,0.6,0.997,0.128,0.598,0.188,0.927,umap,fashionmnist,21,continuity
projnn,0.139,0.98,0.968,0.966,0.573,0.734,0.164,0.734,0.039,0.029,0.592,0.919,0.615,0.996,0.122,0.608,0.266,0.956,umap,fashionmnist,21,continuity
truenn,0.171,0.986,0.959,0.977,0.614,0.807,0.113,0.807,0.061,0.019,0.579,0.937,0.597,0.998,0.149,0.6,0.193,0.939,umap,fashionmnist,21,continuity
rescaled,0.224,0.984,0.988,0.974,0.65,0.799,0.123,0.799,0.021,0.023,0.648,0.951,0.471,0.999,0.259,0.507,0.201,0.979,tsne,fashionmnist,7,continuity
magnetic,0.232,0.954,0.921,0.93,0.593,0.956,0.026,0.956,0.112,0.068,0.514,0.956,0.466,0.999,0.25,0.5,0.044,0.888,tsne,fashionmnist,7,continuity
magnetic_on_rescale,0.231,0.962,0.935,0.941,0.608,0.946,0.031,0.946,0.094,0.057,0.537,0.955,0.468,0.999,0.252,0.502,0.054,0.906,tsne,fashionmnist,7,continuity
delaunay,0.135,0.979,0.953,0.97,0.582,0.907,0.053,0.907,0.069,0.028,0.556,0.922,0.646,0.996,0.117,0.648,0.093,0.931,tsne,fashionmnist,7,continuity
projnn,0.131,0.982,0.974,0.973,0.559,0.839,0.096,0.839,0.035,0.025,0.613,0.921,0.671,0.997,0.113,0.671,0.161,0.964,tsne,fashionmnist,7,continuity
truenn,0.158,0.989,0.953,0.984,0.622,0.9,0.058,0.9,0.067,0.016,0.574,0.936,0.637,0.999,0.143,0.648,0.1,0.934,tsne,fashionmnist,7,continuity
rescaled,0.337,0.745,0.677,0.545,0.494,0.99,0.005,0.99,0.455,0.444,0.414,0.838,0.47,0.999,0.6,0.54,0.01,0.52,isomap,reuters,51,continuity
magnetic,0.363,0.744,0.672,0.545,0.493,0.99,0.005,0.99,0.453,0.445,0.408,0.852,0.474,0.998,0.597,0.515,0.01,0.518,isomap,reuters,51,continuity
magnetic_on_rescale,0.301,0.745,0.672,0.545,0.493,0.99,0.005,0.99,0.453,0.445,0.408,0.85,0.475,0.999,0.597,0.516,0.01,0.518,isomap,reuters,51,continuity
delaunay,0.312,0.756,0.655,0.572,0.491,0.989,0.006,0.989,0.488,0.434,0.377,0.838,0.47,0.999,0.537,0.416,0.011,0.515,isomap,reuters,51,continuity
projnn,0.244,0.754,0.653,0.575,0.418,0.99,0.005,0.99,0.488,0.434,0.376,0.776,0.345,0.994,0.209,0.365,0.01,0.513,isomap,reuters,51,continuity
truenn,0.324,0.859,0.709,0.724,0.567,0.971,0.015,0.971,0.455,0.248,0.522,0.865,0.365,0.998,0.346,0.318,0.029,0.544,isomap,reuters,51,continuity
rescaled,0.128,0.969,0.986,0.954,0.386,0.816,0.111,0.816,0.022,0.042,0.637,0.887,0.703,0.98,0.131,0.719,0.184,0.976,mds,fashionmnist,7,continuity
magnetic,0.116,0.956,0.94,0.938,0.385,0.915,0.049,0.915,0.08,0.059,0.478,0.898,0.705,0.984,0.128,0.719,0.085,0.92,mds,fashionmnist,7,continuity
magnetic_on_rescale,0.116,0.956,0.94,0.938,0.386,0.915,0.049,0.915,0.08,0.059,0.478,0.897,0.705,0.983,0.128,0.719,0.085,0.92,mds,fashionmnist,7,continuity
delaunay,0.115,0.969,0.961,0.956,0.429,0.9,0.058,0.9,0.056,0.041,0.541,0.909,0.729,0.987,0.109,0.737,0.1,0.944,mds,fashionmnist,7,continuity
projnn,0.116,0.977,0.983,0.966,0.47,0.835,0.098,0.835,0.028,0.031,0.629,0.9,0.762,0.986,0.092,0.765,0.165,0.971,mds,fashionmnist,7,continuity
truenn,0.108,0.987,0.956,0.982,0.497,0.9,0.058,0.9,0.062,0.018,0.549,0.915,0.794,0.995,0.088,0.797,0.1,0.938,mds,fashionmnist,7,continuity
rescaled,0.283,0.963,0.984,0.94,0.641,0.786,0.132,0.786,0.028,0.053,0.777,0.905,0.21,0.978,0.262,0.198,0.214,0.97,umap,mnist,7,continuity
magnetic,0.294,0.955,0.916,0.932,0.634,0.917,0.049,0.917,0.12,0.062,0.627,0.913,0.213,0.982,0.258,0.201,0.083,0.879,umap,mnist,7,continuity
magnetic_on_rescale,0.294,0.955,0.916,0.932,0.634,0.917,0.049,0.917,0.12,0.062,0.627,0.913,0.213,0.982,0.258,0.201,0.083,0.879,umap,mnist,7,continuity
delaunay,0.252,0.963,0.954,0.944,0.662,0.848,0.09,0.848,0.068,0.05,0.713,0.903,0.28,0.979,0.183,0.25,0.152,0.93,umap,mnist,7,continuity
projnn,0.254,0.965,0.978,0.945,0.661,0.816,0.111,0.816,0.037,0.049,0.759,0.902,0.283,0.979,0.184,0.254,0.184,0.961,umap,mnist,7,continuity
truenn,0.293,0.973,0.89,0.963,0.668,0.932,0.039,0.932,0.169,0.035,0.625,0.922,0.322,0.991,0.211,0.298,0.068,0.832,umap,mnist,7,continuity
rescaled,0.384,0.874,0.904,0.831,0.819,0.894,0.076,0.894,0.326,0.145,0.746,0.953,0.089,0.956,0.442,0.162,0.106,0.678,isomap,spambase,21,continuity
magnetic,0.338,0.841,0.892,0.79,0.819,0.933,0.048,0.933,0.36,0.19,0.734,0.755,0.088,0.959,0.436,0.143,0.067,0.634,isomap,spambase,21,continuity
magnetic_on_rescale,0.338,0.841,0.892,0.79,0.819,0.933,0.048,0.933,0.36,0.19,0.734,0.755,0.088,0.959,0.436,0.143,0.067,0.634,isomap,spambase,21,continuity
delaunay,0.332,0.833,0.882,0.781,0.818,0.971,0.016,0.971,0.379,0.202,0.715,0.748,0.084,0.973,0.43,0.126,0.029,0.621,isomap,spambase,21,continuity
projnn,0.249,0.85,0.896,0.8,0.806,0.956,0.025,0.956,0.345,0.18,0.732,0.436,0.089,0.979,0.365,0.125,0.044,0.65,isomap,spambase,21,continuity
truenn,0.141,0.888,0.902,0.85,0.809,0.931,0.039,0.931,0.33,0.118,0.751,0.373,0.152,0.991,0.371,0.187,0.069,0.661,isomap,spambase,21,continuity
rescaled,0.224,0.983,0.99,0.978,0.525,0.938,0.062,0.938,0.02,0.022,0.661,0.958,0.31,0.0,0.339,0.367,0.062,0.98,isomap,fashionmnist,1,continuity
magnetic,0.234,0.91,0.862,0.885,0.457,0.995,0.005,0.995,0.17,0.115,0.398,0.963,0.305,0.0,0.305,0.333,0.005,0.83,isomap,fashionmnist,1,continuity
magnetic_on_rescale,0.229,0.958,0.918,0.946,0.495,0.987,0.013,0.987,0.105,0.054,0.457,0.961,0.305,0.0,0.335,0.356,0.013,0.895,isomap,fashionmnist,1,continuity
delaunay,0.14,0.982,0.961,0.976,0.497,0.974,0.026,0.974,0.057,0.024,0.579,0.918,0.62,0.0,0.12,0.626,0.026,0.943,isomap,fashionmnist,1,continuity
projnn,0.138,0.983,0.986,0.977,0.476,0.949,0.051,0.949,0.025,0.023,0.651,0.917,0.626,0.0,0.12,0.626,0.051,0.975,isomap,fashionmnist,1,continuity
truenn,0.176,0.988,0.958,0.985,0.59,0.978,0.022,0.978,0.062,0.015,0.58,0.938,0.578,0.0,0.159,0.608,0.022,0.938,isomap,fashionmnist,1,continuity
rescaled,0.201,0.959,0.989,0.949,0.561,0.807,0.116,0.807,0.022,0.047,0.846,0.86,0.277,0.968,0.345,0.335,0.193,0.975,umap,usps,7,continuity
magnetic,0.197,0.93,0.872,0.918,0.512,0.949,0.029,0.949,0.159,0.078,0.55,0.871,0.263,0.974,0.346,0.318,0.051,0.84,umap,usps,7,continuity
magnetic_on_rescale,0.195,0.937,0.889,0.926,0.516,0.939,0.035,0.939,0.14,0.07,0.58,0.871,0.273,0.973,0.341,0.329,0.061,0.86,umap,usps,7,continuity
delaunay,0.17,0.961,0.962,0.951,0.716,0.897,0.06,0.897,0.071,0.045,0.752,0.864,0.419,0.986,0.184,0.392,0.103,0.927,umap,usps,7,continuity
projnn,0.164,0.967,0.985,0.957,0.756,0.831,0.1,0.831,0.029,0.039,0.832,0.84,0.451,0.981,0.161,0.417,0.169,0.969,umap,usps,7,continuity
truenn,0.166,0.979,0.934,0.976,0.748,0.908,0.053,0.908,0.116,0.024,0.753,0.868,0.437,0.993,0.18,0.408,0.092,0.883,umap,usps,7,continuity
rescaled,0.427,0.606,0.738,0.406,0.065,0.999,0.001,0.999,0.316,0.604,0.313,0.997,-0.092,0.998,0.989,-0.026,0.001,0.652,isomap,reuters,7,continuity
magnetic,0.429,0.606,0.738,0.405,0.082,0.999,0.001,0.999,0.316,0.604,0.313,0.999,-0.032,1.0,0.998,-0.026,0.001,0.652,isomap,reuters,7,continuity
magnetic_on_rescale,0.427,0.606,0.738,0.406,0.065,0.999,0.001,0.999,0.316,0.604,0.313,0.997,-0.092,0.998,0.989,-0.026,0.001,0.652,isomap,reuters,7,continuity
delaunay,0.425,0.631,0.623,0.433,0.207,0.999,0.001,0.999,0.499,0.581,0.322,0.972,-0.093,0.994,0.679,-0.021,0.001,0.5,isomap,reuters,7,continuity
projnn,0.298,0.642,0.623,0.462,0.135,0.999,0.001,0.999,0.499,0.544,0.323,0.811,-0.023,0.924,0.209,-0.016,0.001,0.501,isomap,reuters,7,continuity
truenn,0.412,0.887,0.687,0.823,0.434,0.987,0.008,0.987,0.454,0.169,0.476,0.932,-0.101,0.998,0.276,-0.117,0.013,0.543,isomap,reuters,7,continuity
rescaled,0.291,0.914,0.935,0.891,0.828,0.846,0.117,0.846,0.197,0.096,0.767,0.783,0.148,0.948,0.487,0.313,0.154,0.798,isomap,spambase,7,continuity
magnetic,0.26,0.877,0.92,0.849,0.825,0.923,0.059,0.923,0.295,0.139,0.761,0.667,0.149,0.949,0.48,0.295,0.077,0.693,isomap,spambase,7,continuity
magnetic_on_rescale,0.26,0.877,0.92,0.849,0.825,0.923,0.059,0.923,0.295,0.139,0.761,0.667,0.149,0.949,0.48,0.295,0.077,0.693,isomap,spambase,7,continuity
delaunay,0.254,0.876,0.906,0.848,0.819,0.982,0.01,0.982,0.326,0.142,0.733,0.623,0.137,0.95,0.475,0.259,0.018,0.672,isomap,spambase,7,continuity
projnn,0.201,0.891,0.927,0.865,0.816,0.951,0.029,0.951,0.238,0.124,0.747,0.358,0.233,0.958,0.342,0.287,0.049,0.758,isomap,spambase,7,continuity
truenn,0.142,0.935,0.922,0.92,0.817,0.929,0.042,0.929,0.277,0.073,0.768,0.339,0.252,0.968,0.339,0.292,0.071,0.715,isomap,spambase,7,continuity
rescaled,0.195,0.92,0.976,0.901,0.325,0.745,0.154,0.745,0.042,0.086,0.795,0.826,0.391,0.986,0.305,0.401,0.255,0.955,mds,usps,21,continuity
magnetic,0.181,0.889,0.844,0.867,0.325,0.892,0.062,0.892,0.182,0.12,0.531,0.841,0.391,0.987,0.298,0.399,0.108,0.816,mds,usps,21,continuity
magnetic_on_rescale,0.181,0.889,0.844,0.867,0.325,0.892,0.062,0.892,0.182,0.12,0.531,0.841,0.391,0.987,0.298,0.399,0.108,0.816,mds,usps,21,continuity
delaunay,0.176,0.913,0.917,0.894,0.347,0.867,0.075,0.867,0.112,0.093,0.656,0.856,0.393,0.988,0.254,0.399,0.133,0.886,mds,usps,21,continuity
projnn,0.168,0.923,0.96,0.904,0.414,0.797,0.12,0.797,0.058,0.084,0.751,0.842,0.43,0.986,0.185,0.424,0.203,0.935,mds,usps,21,continuity
truenn,0.174,0.935,0.862,0.92,0.441,0.861,0.079,0.861,0.16,0.067,0.594,0.874,0.429,0.992,0.194,0.426,0.139,0.833,mds,usps,21,continuity
rescaled,0.397,0.927,0.962,0.889,0.428,0.746,0.155,0.746,0.053,0.094,0.669,0.962,0.166,0.998,0.432,0.184,0.254,0.943,isomap,mnist,21,continuity
magnetic,0.4,0.894,0.818,0.851,0.398,0.916,0.048,0.916,0.213,0.135,0.401,0.964,0.165,0.998,0.419,0.184,0.084,0.787,isomap,mnist,21,continuity
magnetic_on_rescale,0.4,0.896,0.821,0.853,0.399,0.915,0.049,0.915,0.21,0.133,0.404,0.964,0.166,0.998,0.419,0.184,0.085,0.79,isomap,mnist,21,continuity
delaunay,0.277,0.927,0.901,0.896,0.437,0.851,0.085,0.851,0.122,0.09,0.546,0.928,0.365,0.993,0.165,0.344,0.149,0.869,isomap,mnist,21,continuity
projnn,0.257,0.93,0.95,0.898,0.425,0.779,0.134,0.779,0.061,0.088,0.637,0.92,0.366,0.992,0.166,0.342,0.221,0.927,isomap,mnist,21,continuity
truenn,0.351,0.961,0.851,0.939,0.516,0.884,0.065,0.884,0.187,0.048,0.496,0.947,0.398,0.997,0.187,0.405,0.116,0.813,isomap,mnist,21,continuity
rescaled,0.221,0.933,0.973,0.925,0.346,0.936,0.064,0.936,0.044,0.075,0.726,0.858,0.306,0.0,0.207,0.3,0.064,0.956,mds,mnist,1,continuity
magnetic,0.21,0.917,0.862,0.908,0.345,0.983,0.017,0.983,0.169,0.092,0.479,0.871,0.311,0.0,0.203,0.304,0.017,0.831,mds,mnist,1,continuity
magnetic_on_rescale,0.21,0.917,0.862,0.908,0.345,0.983,0.017,0.983,0.169,0.092,0.479,0.871,0.311,0.0,0.203,0.304,0.017,0.831,mds,mnist,1,continuity
delaunay,0.22,0.935,0.921,0.927,0.366,0.978,0.022,0.978,0.106,0.073,0.595,0.893,0.361,0.0,0.173,0.343,0.022,0.894,mds,mnist,1,continuity
projnn,0.213,0.942,0.962,0.934,0.405,0.961,0.039,0.961,0.058,0.066,0.693,0.884,0.388,0.0,0.161,0.364,0.039,0.942,mds,mnist,1,continuity
truenn,0.261,0.953,0.829,0.948,0.366,0.983,0.017,0.983,0.2,0.052,0.433,0.904,0.414,0.0,0.157,0.39,0.017,0.8,mds,mnist,1,continuity
rescaled,0.215,0.92,0.916,0.87,0.365,0.726,0.169,0.726,0.079,0.108,0.565,0.858,0.342,0.956,0.2,0.344,0.274,0.888,mds,mnist,51,continuity
magnetic,0.205,0.912,0.847,0.861,0.364,0.825,0.104,0.825,0.176,0.12,0.438,0.871,0.349,0.965,0.196,0.35,0.175,0.815,mds,mnist,51,continuity
magnetic_on_rescale,0.205,0.912,0.847,0.861,0.364,0.825,0.104,0.825,0.176,0.12,0.438,0.871,0.349,0.965,0.196,0.35,0.175,0.815,mds,mnist,51,continuity
delaunay,0.22,0.924,0.885,0.875,0.375,0.777,0.133,0.777,0.13,0.105,0.509,0.892,0.393,0.975,0.17,0.379,0.223,0.853,mds,mnist,51,continuity
projnn,0.209,0.929,0.919,0.882,0.396,0.737,0.16,0.737,0.084,0.097,0.57,0.883,0.413,0.969,0.157,0.392,0.263,0.887,mds,mnist,51,continuity
truenn,0.238,0.941,0.804,0.899,0.4,0.855,0.082,0.855,0.222,0.076,0.4,0.901,0.432,0.977,0.157,0.409,0.145,0.769,mds,mnist,51,continuity
rescaled,0.259,0.886,0.739,0.724,0.446,0.949,0.032,0.949,0.412,0.256,0.58,0.747,0.157,0.977,0.435,0.009,0.051,0.6,tsne,reuters,21,continuity
magnetic,0.248,0.81,0.702,0.636,0.446,0.977,0.013,0.977,0.437,0.366,0.505,0.762,0.148,0.983,0.42,0.013,0.023,0.57,tsne,reuters,21,continuity
magnetic_on_rescale,0.248,0.81,0.702,0.636,0.446,0.977,0.013,0.977,0.437,0.366,0.505,0.762,0.148,0.983,0.42,0.013,0.023,0.57,tsne,reuters,21,continuity
delaunay,0.247,0.805,0.656,0.631,0.447,0.983,0.01,0.983,0.464,0.35,0.411,0.76,0.157,0.982,0.403,0.132,0.017,0.537,tsne,reuters,21,continuity
projnn,0.263,0.83,0.699,0.658,0.497,0.973,0.016,0.973,0.436,0.329,0.503,0.766,0.125,0.976,0.247,0.11,0.027,0.562,tsne,reuters,21,continuity
truenn,0.308,0.875,0.716,0.749,0.501,0.967,0.019,0.967,0.423,0.236,0.535,0.827,-0.003,0.994,0.373,-0.054,0.033,0.575,tsne,reuters,21,continuity
rescaled,0.274,0.95,0.951,0.894,0.487,0.675,0.205,0.675,0.051,0.083,0.641,0.912,0.316,0.973,0.282,0.326,0.325,0.925,tsne,mnist,51,continuity
magnetic,0.285,0.935,0.852,0.876,0.488,0.831,0.099,0.831,0.186,0.104,0.473,0.92,0.305,0.979,0.277,0.315,0.169,0.81,tsne,mnist,51,continuity
magnetic_on_rescale,0.287,0.939,0.878,0.881,0.496,0.809,0.113,0.809,0.155,0.098,0.505,0.92,0.314,0.979,0.277,0.324,0.191,0.838,tsne,mnist,51,continuity
delaunay,0.252,0.955,0.927,0.907,0.61,0.741,0.156,0.741,0.097,0.074,0.599,0.915,0.402,0.984,0.17,0.383,0.259,0.89,tsne,mnist,51,continuity
projnn,0.229,0.959,0.948,0.912,0.621,0.695,0.189,0.695,0.061,0.069,0.646,0.9,0.425,0.977,0.157,0.399,0.305,0.916,tsne,mnist,51,continuity
truenn,0.305,0.962,0.882,0.917,0.611,0.803,0.116,0.803,0.17,0.059,0.593,0.926,0.437,0.985,0.199,0.427,0.197,0.829,tsne,mnist,51,continuity
rescaled,0.151,0.972,0.98,0.954,0.394,0.717,0.174,0.717,0.025,0.04,0.608,0.878,0.673,0.974,0.13,0.684,0.283,0.969,mds,fashionmnist,21,continuity
magnetic,0.13,0.963,0.946,0.944,0.394,0.844,0.091,0.844,0.074,0.051,0.492,0.89,0.676,0.983,0.127,0.686,0.156,0.926,mds,fashionmnist,21,continuity
magnetic_on_rescale,0.13,0.963,0.946,0.944,0.394,0.844,0.091,0.844,0.074,0.051,0.492,0.89,0.676,0.983,0.127,0.686,0.156,0.926,mds,fashionmnist,21,continuity
delaunay,0.123,0.973,0.965,0.957,0.417,0.789,0.124,0.789,0.047,0.038,0.554,0.909,0.697,0.989,0.112,0.702,0.211,0.951,mds,fashionmnist,21,continuity
projnn,0.121,0.977,0.979,0.962,0.456,0.731,0.163,0.731,0.029,0.033,0.606,0.898,0.741,0.985,0.095,0.743,0.269,0.967,mds,fashionmnist,21,continuity
truenn,0.131,0.984,0.954,0.975,0.477,0.807,0.113,0.807,0.061,0.021,0.53,0.91,0.723,0.992,0.108,0.731,0.193,0.938,mds,fashionmnist,21,continuity
rescaled,0.227,0.98,0.987,0.97,0.574,0.814,0.113,0.814,0.023,0.027,0.64,0.954,0.345,0.999,0.304,0.379,0.186,0.977,isomap,fashionmnist,7,continuity
magnetic,0.241,0.901,0.825,0.863,0.44,0.979,0.012,0.979,0.205,0.135,0.349,0.96,0.323,0.997,0.277,0.332,0.021,0.796,isomap,fashionmnist,7,continuity
magnetic_on_rescale,0.234,0.962,0.93,0.946,0.542,0.942,0.034,0.942,0.091,0.052,0.485,0.958,0.342,0.998,0.299,0.372,0.058,0.909,isomap,fashionmnist,7,continuity
delaunay,0.136,0.979,0.963,0.97,0.503,0.888,0.064,0.888,0.051,0.028,0.563,0.916,0.634,0.993,0.117,0.637,0.112,0.949,isomap,fashionmnist,7,continuity
projnn,0.137,0.981,0.984,0.971,0.495,0.833,0.1,0.833,0.026,0.027,0.629,0.918,0.629,0.994,0.12,0.63,0.167,0.973,isomap,fashionmnist,7,continuity
truenn,0.178,0.988,0.948,0.984,0.593,0.899,0.059,0.899,0.072,0.016,0.55,0.933,0.577,0.996,0.158,0.599,0.101,0.929,isomap,fashionmnist,7,continuity
rescaled,0.429,0.609,0.641,0.338,0.066,0.983,0.01,0.983,0.465,0.634,0.34,0.997,0.01,0.846,0.995,-0.362,0.017,0.529,mds,reuters,7,continuity
magnetic,0.428,0.643,0.651,0.435,0.083,0.984,0.009,0.984,0.456,0.563,0.356,0.986,-0.01,0.964,0.891,-0.093,0.016,0.534,mds,reuters,7,continuity
magnetic_on_rescale,0.428,0.643,0.651,0.435,0.083,0.984,0.009,0.984,0.456,0.563,0.356,0.986,-0.01,0.964,0.891,-0.093,0.016,0.534,mds,reuters,7,continuity
delaunay,0.427,0.627,0.628,0.387,0.131,0.997,0.002,0.997,0.498,0.621,0.326,0.979,-0.002,0.877,0.773,-0.01,0.003,0.503,mds,reuters,7,continuity
projnn,0.378,0.658,0.621,0.494,0.127,0.997,0.002,0.997,0.5,0.51,0.317,0.874,0.003,0.854,0.222,0.001,0.003,0.5,mds,reuters,7,continuity
truenn,0.419,0.802,0.643,0.701,0.24,0.991,0.006,0.991,0.485,0.301,0.36,0.943,0.032,0.971,0.368,0.034,0.009,0.513,mds,reuters,7,continuity
rescaled,0.423,0.622,0.641,0.336,0.339,0.988,0.006,0.988,0.468,0.644,0.347,0.984,-0.221,0.99,0.905,-0.349,0.012,0.523,umap,reuters,21,continuity
magnetic,0.38,0.654,0.636,0.452,0.178,0.99,0.005,0.99,0.474,0.554,0.338,0.904,-0.056,0.995,0.394,-0.051,0.01,0.519,umap,reuters,21,continuity
magnetic_on_rescale,0.422,0.632,0.635,0.372,0.33,0.989,0.006,0.989,0.473,0.622,0.343,0.976,-0.198,0.991,0.796,-0.156,0.011,0.517,umap,reuters,21,continuity
delaunay,0.418,0.621,0.629,0.352,0.272,0.993,0.004,0.993,0.497,0.654,0.337,0.962,-0.202,0.985,0.705,-0.155,0.007,0.505,umap,reuters,21,continuity
projnn,0.297,0.687,0.631,0.448,0.291,0.992,0.004,0.992,0.489,0.552,0.341,0.83,-0.068,0.97,0.219,-0.066,0.008,0.512,umap,reuters,21,continuity
truenn,0.391,0.827,0.708,0.651,0.395,0.969,0.018,0.969,0.434,0.343,0.522,0.922,-0.16,0.996,0.342,-0.205,0.031,0.562,umap,reuters,21,continuity
rescaled,0.046,0.856,0.866,0.812,0.728,0.873,0.086,0.873,0.333,0.154,0.683,0.441,0.453,0.998,0.335,0.478,0.127,0.661,isomap,spambase,51,continuity
magnetic,0.056,0.818,0.849,0.763,0.726,0.926,0.049,0.926,0.379,0.21,0.657,0.481,0.448,0.987,0.324,0.456,0.074,0.62,isomap,spambase,51,continuity
magnetic_on_rescale,0.042,0.828,0.855,0.775,0.728,0.917,0.054,0.917,0.366,0.196,0.67,0.469,0.446,0.992,0.331,0.465,0.083,0.63,isomap,spambase,51,continuity
delaunay,0.048,0.829,0.852,0.777,0.732,0.936,0.037,0.936,0.37,0.199,0.664,0.429,0.445,0.991,0.312,0.476,0.064,0.629,isomap,spambase,51,continuity
projnn,0.101,0.812,0.859,0.755,0.753,0.923,0.043,0.923,0.345,0.217,0.671,0.326,0.292,0.986,0.283,0.296,0.077,0.645,isomap,spambase,51,continuity
truenn,0.083,0.85,0.876,0.799,0.79,0.911,0.05,0.911,0.354,0.152,0.708,0.368,0.265,0.98,0.293,0.253,0.089,0.638,isomap,spambase,51,continuity
rescaled,0.044,0.852,0.875,0.802,0.653,0.837,0.11,0.837,0.295,0.158,0.682,0.744,0.154,0.987,0.587,0.125,0.163,0.692,mds,spambase,51,continuity
magnetic,0.043,0.751,0.821,0.678,0.648,0.922,0.051,0.922,0.384,0.292,0.626,0.735,0.111,1.005,0.536,0.043,0.078,0.596,mds,spambase,51,continuity
magnetic_on_rescale,0.043,0.769,0.833,0.701,0.656,0.91,0.058,0.91,0.366,0.272,0.639,0.744,0.145,0.999,0.548,0.082,0.09,0.616,mds,spambase,51,continuity
delaunay,0.047,0.757,0.826,0.69,0.655,0.955,0.024,0.955,0.413,0.291,0.621,0.666,0.154,0.99,0.517,0.103,0.045,0.592,mds,spambase,51,continuity
